,en
VISIT_LOCATION,"Visit {name}."
ENTER_LOCATION,"Enter the {name}."
LEAVE,"Leave."
LEAVE_CAREFULLY,"Leave carefully."
LEAVE_BUILDING,"Leave the building."
LEAVE_HASTILY,"Hurry."
RUN,"Run!"
PROCEED_CAREFULLY,"Proceed carefully."
MOVE_FORWARD,"Move forward."
GO_BACK,"Go back."
GO_LEFT,"Go left."
GO_RIGHT,"Go right."
GO_STRAIGHTFORWARD,"Go straightforward."
GO_UPSTAIRS,"Go upstairs."
GO_DOWNSTAIRS,"Go downstairs."
GO_NORTH,"Go north."
GO_SOUTH,"Go south."
GO_WEST,"Go west."
GO_EAST,"Go east."
GO_OUTSIDE,"Go outside."
BACK_OFF,"Back off."
ENTER_THE_BASEMENT,"Enter the basement."
ACTION_CONTINUE,"Continue."
APPROACH_CHARACTER,"Approach the {name}."
ASK_NAME,"Ask for {his/her} name."
ASK_JOB,"Ask about the job."
HIRE_MERCENARY,"Hire the {name}."
ACCEPT_JOB,"Accept job."
CHECKOUT_OTHER_JOBS,"Check out the other jobs."
INVESTIGATE,"Investigate."
PICK_LOCK,"Pick the lock."
FORCE_DOOR_OPEN,"Force the door open."
BUY_ITEM,"Buy {item} for {price} {currency}."
SELL_ITEM,"Sell {item} for {price} {currency}."
SELL_ITEMS,"Sell items."
BUY_ITEMS,"Buy Items."
REST_PRICE,"Rest for {cost} {currency}."
MAKE_UP_EXCUSE,"Make up an excuse."
SAY_SORRY,"Sorry!"
SAY_HAVE_TO_GO,"I have to go!"
ACTION_ATTACK,"Attack!"
ENTER_WORKROOM,"Enter the workroom."
ENTER_LAB,"Enter the laboratory."
ENTER_FORGE,"Enter the forge."
LIGHT_CANDLE,"Light a candle."
INVESTIGATE_CORPSES,"Investigate the corpses."
FIGHT_NAUSEA,"Fight the nausea."
UNLOCK_KEY,"Unlock the door with the key."
READ_SCROLL,"Read the scroll."
TRY_HARDER,"Try harder."
WAIT,"Wait."
TRY_TO_MOVE,"Try to move."
FIGHT,"Fight!"
TRIGGER_SWITCH,"Trigger the switch."
TAKE_CLOSER_LOOK,"Take a closer look."
WAKE_UP,"Wake up."
EXAMINE_ROOM,"Examine the room."
EXPLORE_CITY,"Explore the city."
ASK_AROUND,"Ask around."
ATTACK_IT,"Attack it."
ATTACK_THEM,"Attack them."
MOVE_AROUND,"Move around it."
DISTRACT_IT_SPELL,"Cast a spell to distract it."
SNIPE_IT_DOWN_BOW,"Use your bow to snipe it down."
SNIPE_THEM_DOWN_BOW,"Use your bow to snipe them down."
SNEAK_PAST_IT,"Sneak past it."
SNEAK_PAST_THEM,"Sneak past them."
EXAMINE_CORPSE,"Examine the corpse."
SEARCH_BODIES,"Search the bodies."
IGNORE_BODIES,"Ignore the bodies for now."
SEARCH_ROOM,"Search the room."
DRINK_IT,"Drink it."
ENTER_CANTEEN,"Enter the canteen."
ENTER_ROOM,"Enter the room."
ENTER_ARMORY,"Enter the armoury."
ENTER_BARRACKS,"Enter the barracks."
ENTER_SHRINE,"Enter the shrine."
ENTER_STORAGE,"Enter the storage room."
ENTER_WORKSHOP,"Enter the workshop."
TRACK_THEM_DOWN,"Track them down."
LAY_TRAP,"Lay a trap."
ANSWER_YES,"Yes."
ANSWER_NO,"No."
ASK_WHY,"Why?"
ASK_ILLEGAL,"Is this illegal?"
REST,"Rest."
ACTION_OPEN_PACKAGE,"Open the package."
ACTION_CLOSE_PACKAGE,"Close the package."
ACTION_GET_RID_PACKAGE,"Get rid of the package."
ACTION_STEAL_PACKAGE,"Steal the content of the package."
ACTION_REPAIR_SEAL,"Try to repair the seal."
ACTION_CAPTURE_GAS,"Try to capture the gas."
ACTION_TOXIC_GAS,"The gas might be toxic."
ACTION_FEED_CAT,"Feed the cat."
ACTION_GIVE_UP,"Give up."
ACTION_CHASE_CAT,"Chase the cat."
ACTION_KEEP_CAT,"Keep the cat."
ACTION_NOT_KEEP_CAT,"Put the cat back into the package."
ACTION_PAY_THEM,"Pay them."
ACTION_DECLINE_TO_PAY,"Decline to pay them."
ACTION_POINT_OUT_ILLEGAL,"Point out that the content is illegal."

